symbol,side,entry,exit,pnl,minutes,entry_time,exit_time,notional,equity_after
BTCUSDT,LONG,91413.14,91415.28,-2.1169864988930622,14,2025-11-27 17:50:00,2025-11-27 18:04:00,4441.946731208302,1021.210350599214
SOLUSDT,LONG,141.64,141.97,5.91362267661228,15,2025-11-27 17:55:00,2025-11-27 18:10:00,3231.7521256089926,1025.9643476373062
BTCUSDT,LONG,91414.46,91393.0,-3.5771735713051775,17,2025-11-27 18:13:00,2025-11-27 18:30:00,4868.5257728675015,1033.2234305829688
XRPUSDT,LONG,2.2042,2.2233,36.67723473085266,48,2025-11-27 17:50:00,2025-11-27 18:38:00,4491.855204982057,1080.8406805350364
SOLUSDT,LONG,142.28,142.75,10.763839719125773,23,2025-11-27 18:16:00,2025-11-27 18:39:00,3839.640764271197,1096.0733772667184
BTCUSDT,LONG,91496.36,91745.29,11.842853003353989,15,2025-11-27 18:36:00,2025-11-27 18:51:00,5333.045750953473,1102.43072817815
XRPUSDT,SHORT,2.2246,2.2294,-13.476066440700784,15,2025-11-27 18:39:00,2025-11-27 18:54:00,5079.47022214121,1109.408205825387
SOLUSDT,LONG,142.74,143.0,4.6320847983372,15,2025-11-27 18:41:00,2025-11-27 18:56:00,3505.1889101133856,1107.193378296638
BTCUSDT,SHORT,91822.0,91651.37,7.435611393389642,15,2025-11-27 18:54:00,2025-11-27 19:09:00,5460.419946151658,1096.5179464507505
XRPUSDT,SHORT,2.2295,2.2233,9.534234347551028,15,2025-11-27 18:55:00,2025-11-27 19:10:00,4165.88151854942,1100.3791756120243
SOLUSDT,LONG,142.93,142.32,-18.39311628026128,19,2025-11-27 18:59:00,2025-11-27 19:18:00,3857.7595473541696,1073.6212020956968
BTCUSDT,LONG,91622.86,91620.84,-2.552501758596319,15,2025-11-27 19:10:00,2025-11-27 19:25:00,4889.410817899267,1081.2659205232853
BTCUSDT,LONG,91619.45,91700.95,1.9573798552202955,15,2025-11-27 19:27:00,2025-11-27 19:42:00,5024.731969042125,1088.2809978476912
XRPUSDT,LONG,2.2221,2.2318,18.859018250290827,56,2025-11-27 19:11:00,2025-11-27 20:07:00,4879.132426428602,1092.0399351290828
BTCUSDT,LONG,91609.14,91546.8,-6.089983546775749,22,2025-11-27 19:47:00,2025-11-27 20:09:00,5158.81800939505,1092.6129799392397
XRPUSDT,SHORT,2.2305,2.2297,-0.5815379681345378,15,2025-11-27 20:08:00,2025-11-27 20:23:00,4118.326846280054,1076.4910177641054
SOLUSDT,LONG,142.35,142.64,5.594179357564361,71,2025-11-27 19:19:00,2025-11-27 20:30:00,3639.12455866261,1073.371050068081
BTCUSDT,LONG,91480.41,91475.63,-3.0979085651062173,17,2025-11-27 20:15:00,2025-11-27 20:32:00,5609.596114632011,1082.1665911711477
SOLUSDT,LONG,142.79,142.78,-2.4440961775659535,15,2025-11-27 20:32:00,2025-11-27 20:47:00,4287.640434850466,1089.0054583245812
BTCUSDT,LONG,91464.2,91486.29,-1.443628110433469,15,2025-11-27 20:37:00,2025-11-27 20:52:00,5584.964542841608,1093.504061694653
SOLUSDT,LONG,142.7,142.0,-21.481049040192136,15,2025-11-27 20:52:00,2025-11-27 21:07:00,3974.0010345958167,1016.4860093643748
BTCUSDT,LONG,91433.18,91486.28,0.441424775642511,18,2025-11-27 20:59:00,2025-11-27 21:17:00,5466.426890527285,1044.8434027272906
BTCUSDT,LONG,91537.05,91552.13,-1.7079456951706717,16,2025-11-27 21:19:00,2025-11-27 21:35:00,5094.42244278897,1046.6940824938001
SOLUSDT,LONG,142.47,142.25,-7.955255058799221,17,2025-11-27 21:20:00,2025-11-27 21:37:00,3891.6517184649956,1048.444019424534
